iteration,seconds
1,15.805814981460571
2,15.780023097991943
3,16.07870101928711
4,17.578614950180054
5,15.593212127685547
6,15.321304082870483
7,15.040103197097778
8,16.344848155975342
9,16.450850009918213
10,19.81803607940674
11,18.02796483039856
12,17.5853009223938
13,17.202203035354614
14,16.656514883041382
15,15.747416019439697
16,16.14277195930481
17,15.126705169677734
18,18.038896083831787
19,17.261447191238403
20,15.709151983261108
21,16.049921989440918
22,15.860549211502075
23,14.992591857910156
24,16.370288133621216
25,15.059806823730469
26,15.188372135162354
27,16.524605989456177
28,16.04222011566162
29,16.36091899871826
30,17.43706703186035
31,16.390451908111572
32,16.005584001541138
33,14.516340970993042
34,15.781284093856812
35,16.194913864135742
36,16.39500594139099
37,16.176777839660645
38,16.77897810935974
39,16.048967123031616
40,17.96428108215332
41,18.205342054367065
42,15.86759901046753
43,14.650584936141968
44,15.594508171081543
45,15.960400104522705
46,15.800729990005493
47,15.56511902809143
48,16.9078631401062
49,14.274992942810059
50,16.177227020263672
