iteration,seconds
1,5.924059867858887
2,6.672115087509155
3,6.917546033859253
4,7.921689987182617
5,2.449366807937622
6,2.9247610569000244
7,6.902463912963867
8,7.354173183441162
9,7.009142875671387
10,6.67226505279541
11,6.586546897888184
12,8.232233047485352
13,6.7069008350372314
14,7.314694881439209
15,7.064336061477661
16,6.698116779327393
17,6.931333065032959
18,3.4378180503845215
19,6.369114875793457
20,6.852703809738159
21,8.81321096420288
22,3.98848295211792
23,6.457154035568237
24,6.3684070110321045
25,6.467566967010498
26,7.210726976394653
27,6.282254934310913
28,7.905241966247559
29,8.588863849639893
30,8.532947063446045
31,6.845992803573608
32,6.747509002685547
33,8.995985984802246
34,7.325350046157837
35,7.3697450160980225
36,6.881515979766846
37,6.419604063034058
38,6.821844816207886
39,6.852957010269165
40,7.17427396774292
41,3.9819250106811523
42,6.963123083114624
43,6.913622856140137
44,6.550526857376099
45,7.100607872009277
46,7.221289873123169
47,7.621977090835571
48,7.780424118041992
49,6.53813099861145
50,6.983360052108765
