iteration,seconds
1,7.129646062850952
2,8.753067016601562
3,8.667316198348999
4,10.234425067901611
5,8.265481948852539
6,11.84334397315979
7,11.433595895767212
8,12.357342004776001
9,8.522035121917725
10,13.131540060043335
11,10.972213983535767
12,8.17671799659729
13,8.350746870040894
14,9.045869827270508
15,10.173864126205444
16,10.693660020828247
17,9.741477012634277
18,9.853737115859985
19,9.216686010360718
20,11.052196025848389
21,10.825869798660278
22,11.966500043869019
23,3.882305860519409
24,10.245802164077759
25,9.227958917617798
26,10.661520004272461
27,10.314532041549683
28,8.762199878692627
29,11.552579879760742
30,11.34933590888977
31,10.487375020980835
32,3.298330068588257
33,10.486755132675171
34,10.611642122268677
35,10.708956003189087
36,10.299551963806152
37,9.099014043807983
38,11.520433902740479
39,10.207412958145142
40,11.053793907165527
41,12.629937887191772
42,6.538707971572876
43,12.563040971755981
44,10.876943111419678
45,11.45383596420288
46,8.983301162719727
47,9.147080183029175
48,10.185703992843628
49,10.945764064788818
50,11.266345024108887
