iteration,seconds
1,17.453590154647827
2,17.279989004135132
3,16.34654998779297
4,16.436334133148193
5,16.119155883789062
6,17.35271406173706
7,19.795623064041138
8,16.15664005279541
9,17.612852096557617
10,19.475457191467285
11,19.31988000869751
12,16.8594651222229
13,17.735515117645264
14,16.55783700942993
15,19.714820861816406
16,19.145280838012695
17,20.497117042541504
18,20.486464023590088
19,20.089634895324707
20,23.54001784324646
21,20.059498071670532
22,23.092500925064087
23,19.227245092391968
24,19.6418399810791
25,19.11601686477661
26,17.105154037475586
27,18.701510906219482
28,22.586431980133057
29,19.728863954544067
30,19.392245054244995
31,19.0224130153656
32,18.936508893966675
33,17.802049160003662
34,17.82298707962036
35,20.23565983772278
36,21.71407198905945
37,17.95042395591736
38,17.483899116516113
39,16.6724910736084
40,17.0569269657135
41,18.188464879989624
42,18.90415596961975
43,19.03957200050354
44,20.632084131240845
45,19.361943006515503
46,17.47338604927063
47,16.95832586288452
48,17.340070009231567
49,18.498450994491577
50,16.638397932052612
