iteration,seconds
1,13.475430011749268
2,0.7622759342193604
3,18.48344087600708
4,9.563492059707642
5,21.24021005630493
6,15.585474014282227
7,14.795992136001587
8,19.814664125442505
9,22.975728034973145
10,3.8162341117858887
11,14.06352686882019
12,10.768308162689209
13,7.922203063964844
14,21.17351508140564
15,8.636412858963013
16,15.40607500076294
17,18.82641100883484
18,25.075404167175293
19,18.659807920455933
20,15.820568084716797
21,14.07951807975769
22,12.011667013168335
23,18.467777013778687
24,14.42860198020935
25,13.231198787689209
26,12.920673847198486
27,17.454067945480347
28,8.211297035217285
29,9.844453811645508
30,13.922880172729492
31,0.533595085144043
32,19.79070806503296
33,14.737370014190674
34,18.448968172073364
35,12.276523113250732
36,1.454737901687622
37,8.978430986404419
38,21.207849979400635
39,6.168811082839966
40,13.259666204452515
41,20.521435976028442
42,2.098444938659668
43,1.6063621044158936
44,12.844567060470581
45,26.75747323036194
46,19.266418933868408
47,8.068917989730835
48,20.65009903907776
49,15.964195013046265
50,21.268316984176636
